HS Code,Description,SU,ID,VAT,LVY,EXC,DOV
0101210000,Live Purebred breeding horses,U,5,7.5,,,12/02/2020
0101290000,Live Horses other than pure bred,U,10,0,,,21/06/2020
0101301000,Live Purebred breeding asses,U,5,7.5,,,12/02/2020
0101309000,Live Assses other than pure bred,U,10,0,,,21/06/2020
0101900000,Live Mules and hinnies,U,10,0,,,21/06/2020
0102210000,Live Purebred breeding cattle,U,5,7.5,,,12/02/2020
0102290000,Live Cattle other than pure bred,U,10,0,,,21/06/2020
0102310000,Live Purebred breeding bufalo,U,5,7.5,,,12/02/2020
0102390000,Live Bufalo other than pure bred,U,10,0,,,21/06/2020
0102900000,Other live bovine animals.,U,10,0,,,21/06/2020
0103100000,Live Purebred breeding swine,U,5,,,,08/06/2015
0103910000,Other live swine other than Purebred breeding weighing less than 50kg,U,10,,,,08/06/2015
0103920000,Other live swine other than Purebred breeding Weighing 50 kg or more,U,10,,,,08/06/2015
0104101000,Live Purebred breeding sheep,U,5,,,,08/06/2015
0104109000,Live sheep other than pure bred,U,10,,,,08/06/2015
0104201000,Live Purebred breeding goat,U,5,,,,08/06/2015
0104209000,Live goat other than pure bred,U,10,,,,08/06/2015
0105111000,Live Breeding fowls of the species Gallus domesticus weighing not more than 185g,U,5,,,,08/06/2015
0105119000,Live Nonbreeding fowls of the species Gallus domesticus weighing not more than 185g,U,10,,,,08/06/2015
0105120000,Live Turkeys weighing not more than 185g,U,5,,,,08/06/2015
0105130000,Live Ducks weighing not more than 185g,U,5,,,,08/06/2015
0105140000,Live Geese weighing not more than 185g,U,5,,,,08/06/2015
0105150000,Live Guinea fowls weighing not more than 185g,U,5,,,,08/06/2015
0105940000,Live Fowls of the species Gallus domesticus weighing more than 185g,U,10,,,,08/06/2015
0105990000,Other live poultry other than species Gallus domesticus weighing more than 185g,U,10,,,,08/06/2015
0106110000,Live Primates,U,10,,,,08/06/2015
0106120000,"Live Whales, dolphins and porpoises; manatees & dugongs; seals, sea lions and walruses",U,10,,,,08/06/2015
0106130000,Live Camels and other camelids (Camelidae),U,10,,,,08/06/2015
0106140000,Live Rabbits and hares,U,10,,,,08/06/2015
0106190000,Other Live Mammals not specified in 01.06,U,10,,,,08/06/2015
0106200000,Live Reptiles (including snakes and turtles),U,10,,,,08/06/2015
0106310000,Live Birds of prey,U,10,7.5,,,12/02/2020
0106320000,"Live Psittaciformes (including parrots, parakeets, macaws and cockatoos)",U,10,7.5,,,12/02/2020
0106330000,Live Ostriches; emus (Dromaius novaehollandiae),U,10,7.5,,,12/02/2020
0106390000,Other live birds not specified in this heading.,U,10,7.5,,,12/02/2020
0106410000,Live Bees,U,5,7.5,,,12/02/2020
0106490000,Live insects other than bees.,U,10,7.5,,,12/02/2020
0106900000,Other live animals not elsewere specified.,U,10,7.5,,,12/02/2020
0201100000,Carcasses and halfcarcasses of bovine animals; fresh or chilled,KG,35,,,,14/04/2020
0201200000,Meat of bovine animals fresh or chilled; other cuts with bone in.,KG,35,,,,14/04/2020
0201300000,Boneless meat of bovine animals; fresh or chilled,KG,35,,,,14/04/2020
0202100000,Carcasses and halfcarcasses of bovine animal; frozen,KG,35,,,,14/04/2020
0202200000,Other meat of bovine animals cuts with bone in; frozen,KG,35,,,,14/04/2020
0202300000,Boneless meat of bovine animals frozen,KG,35,,,,14/04/2020
0203110000,"Carcasses and halfcarcasses of swines, fresh or chilled",KG,35,,,,14/04/2020
0203120000,"Hams, shoulders and cuts thereof of swines, fresh or chilled, with bone in",KG,35,,,,14/04/2020
0203190000,"Other meat of swines, fresh or chilled not mentioned in 02.03.",KG,35,,,,14/04/2020
0203210000,"Carcasses and halfcarcasses of swines, frozen",KG,35,,,,14/04/2020
0203220000,"Hams, shoulders and cuts thereof, of swine with bone in, frozen",KG,35,,,,14/04/2020
0203290000,Other frozen meat of swine not mentioned in this heading.,KG,35,,,,14/04/2020
0204100000,"Carcasses and halfcarcasses of lamb, fresh or chilled",KG,35,,,,14/04/2020
0204210000,"Carcasses and halfcarcasses of sheep, fresh or chilled",KG,35,,,,14/04/2020
0204220000,"Other meat of sheep cuts with bone in, fresh or chilled.",KG,35,,,,14/04/2020
0204230000,"Boneless meat of sheep, fresh or chilled.",KG,35,,,,14/04/2020
0204300000,"Carcasses and halfcarcasses of lamb, frozen",KG,35,,,,14/04/2020
0204410000,"Carcasses and halfcarcasses of sheep, frozen",KG,35,,,,14/04/2020
0204420000,"Other meat of sheep cuts with bone in, frozen",KG,35,,,,14/04/2020
0204430000,"Boneless meat of sheep, frozen.",KG,35,,,,14/04/2020
0204500000,"Meat of goats, fresh, chilled or frozen",KG,35,,,,14/04/2020
0205000000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",KG,20,,,,14/04/2020
0206100000,"Edible offal of bovine animals, fresh or chilled",KG,35,,,,14/04/2020
0206210000,"Edible tongues of bovine animals, frozen",KG,35,,,,14/04/2020
0206220000,"Edible Livers of bovine animals, frozen",KG,35,,,,14/04/2020
0206290000,"Other edible offal of bovine animals not specified in 02.06, frozen.",KG,35,,,,14/04/2020
0206300000,"Edible offal of swine, fresh or chilled",KG,35,,,,14/04/2020
0206410000,"Edible Livers of swine, frozen.",KG,35,,,,14/04/2020
0206490000,"Other edible offal of swine not specified in 02.06, frozen.",KG,35,,,,14/04/2020
0206800000,"Other, Edible offal of 02.06 not specified, fresh or chilled",KG,35,,,,14/04/2020
0206900000,"Other, Edible offal of 02.06 not specified, frozen",KG,35,,,,14/04/2020
0207110000,"Meat and edible offal of species gallus domesticus, Not cut in pieces, fresh or chilled",KG,35,,,,14/04/2020
0207120000,"Meat and edible offal of species gallus domesticus, Not cut in pieces, frozen",KG,35,,,,14/04/2020
0207130000,"Cuts and offal, of the fowl of species gallus domesticus,fresh or chilled",KG,35,,,,14/04/2020
0207140000,"Cuts and offal, of the fowl of species gallus domesticus, frozen",KG,35,,,,14/04/2020
0207240000,"Meat and edible offal of turkey, not cut in pieces, fresh or chilled",KG,35,,,,14/04/2020
0207250000,"Meat and edible offal of turkey, not cut in pieces,frozen",KG,35,,,,14/04/2020
0207260000,"Cuts and offal, of turkey, fresh or chilled",KG,35,,,,14/04/2020
0207270000,"Cuts and offal, of turkey, frozen",KG,35,,,,14/04/2020
0207410000,"Meat and edible offal of ducks, Not cut in pieces, fresh or chilled",KG,35,,,,14/04/2020
0207420000,"Meat and edible offal of ducks, Not cut in pieces, frozen",KG,35,,,,14/04/2020
0207430000,"Edible Fatty livers, of ducks, fresh or chilled",KG,35,,,,14/04/2020
0207440000,"Other meat and edible offal, of ducks not specified in this heading, fresh or chilled",KG,35,,,,14/04/2020
0207450000,"Other meat and edible offal, of ducks not specified in this heading, frozen",KG,35,,,,14/04/2020
0207510000,"Meat and edible offal of geese, Not cut in pieces, fresh or chilled",KG,35,,,,14/04/2020
0207520000,"Meat and edible offal of geese, Not cut in pieces, frozen",KG,35,,,,14/04/2020
0207530000,"Fatty livers, of geese, fresh or chilled",KG,35,,,,14/04/2020
0207540000,"Other meat and edible offal, of geese not specified in this heading, fresh or chilled",KG,35,,,,14/04/2020
0207550000,"Other meat and edible offal, of geese not specified in this heading, frozen",KG,35,,,,14/04/2020
0207600000,Meat and edible offal of guinea fowls,KG,35,,,,14/04/2020
0208100000,"Other meat and edible offal of rabbits or hares, fresh, chilled or frozen.",KG,20,,,,14/04/2020
0208300000,"Other meat and edible offal of primates, fresh chilled or frozen.",KG,20,,,,14/04/2020
0208400000,"Meat and edible offal of whales, dolphins and porpoises ; of manatees and dugongs",KG,20,,,,14/04/2020
0208500000,meat and edible offal of reptiles (including snakes and turtle,KG,20,,,,14/04/2020
0208600000,Meat and edible offal of camels and other camelidae,KG,20,,,,14/04/2020
0208900000,"Meat and edible offal not specified in 02.08, fresh, chilled or frozen",KG,20,,,,14/04/2020
0209100000,"Pig fat not rendered or otherwise extracted, preserved in any way.",KG,20,,,,14/04/2020
0209900000,"Other fat not rendered or otherwise extracted, preserved in any way.",KG,20,,,,14/04/2020
0210110000,"Hams, shoulders and cuts thereof, of swine with bone in, frozen",KG,20,,,,14/04/2020
0210120000,"Bellies (streaky) and cuts thereof, of swine, salted, in brine, dried or smoked.",KG,20,,,,14/04/2020
0210190000,"Meat of swine of 02.10, salted, in brine, dried or smoked.",KG,20,,,,14/04/2020
0210200000,"Meat of bovine animals, salted, in brine, dried or smoked.",KG,35,,,,14/04/2020
0210910000,Others edible flours and meals of meat or meat offal of primate,KG,20,,,,14/04/2020
0210920000,"Others edible flours and meals of whales, dolphins and porpoises; manatees and dugongs.",KG,20,,,,14/04/2020
0210930000,Others edible flours and meals of meat or meat offal of reptile; snakes and turtle,KG,20,,,,14/04/2020
